Id,Cn,Tc,En
1088,字子瑜，琅邪阳都人。三国时期吴国重臣，诸葛亮之兄，诸葛恪之父。经弘咨推荐，为东吴效力。胸怀宽广，温厚诚信，得到孙权的深深信赖，称为“神交”，并努力缓和蜀汉与东吴的关系。220年吕蒙病逝，诸葛瑾代吕蒙领南郡太守，驻守公安。孙权称帝后，诸葛瑾官至大将军，领豫州牧。,字子瑜，琅邪陽都人。三國時期吳國重臣，諸葛亮之兄，諸葛恪之父。經弘咨推薦，爲東吳效力。胸懷寬廣，溫厚誠信，得到孫權的深深信賴，稱爲“神交”，並努力緩和蜀漢與東吳的關系。220年呂蒙病逝，諸葛瑾代呂蒙領南郡太守，駐守公安。孫權稱帝後，諸葛瑾官至大將軍，領豫州牧。,
1089,"字孔明，号卧龙，徐州琅琊阳都人，蜀汉丞相，杰出的政治家、军事家、散文家、书法家、发明家、文学家。
诸葛亮一生“鞠躬尽瘁、死而后已”，是中国传统文化中忠臣与智者的代表人物。诸葛亮幼年丧父，同叔父到南阳躬耕，后追随刘备，为了刘备奠定了三分天下有其一的基础。蜀汉开国后，被封为武乡侯，对内抚百姓，示仪轨，约官职，从权制，开诚心，布公道，对外联吴抗魏，为实现光复大汉的政治理想，数次北伐，最后病逝于五丈原。刘禅追谥其为忠武侯，故后世常以武侯、诸葛武侯尊称诸葛亮。","字孔明，號臥龍，徐州琅琊陽都人，蜀漢丞相，傑出的政治家、軍事家、散文家、書法家、發明家、文學家。
諸葛亮一生“鞠躬盡瘁、死而後已”，是中國傳統文化中忠臣與智者的代表人物。諸葛亮幼年喪父，同叔父到南陽躬耕，後追隨劉備，爲了劉備奠定了三分天下有其一的基礎。蜀漢開國後，被封爲武鄉侯，對內撫百姓，示儀軌，約官職，從權制，開誠心，布公道，對外聯吳抗魏，爲實現光複大漢的政治理想，數次北伐，最後病逝于五丈原。劉禅追谥其爲忠武侯，故後世常以武侯、諸葛武侯尊稱諸葛亮。",
1090,"虚构人物，南蛮王孟获之妻，曾经生擒张嶷与马忠，后来跟随孟获一起归顺了蜀国。据传说为火神祝融氏后裔，武艺高强，善使飞刀。曾与孟获一起抵抗蜀军，在两军阵前被赵云活捉，在诸葛亮七擒七纵孟获之后，随孟获投降蜀汉。
",虚构人物，南蛮王孟获之妻，曾经生擒张嶷与马忠，后来跟随孟获一起归顺了蜀国。据传说为火神祝融氏后裔，武艺高强，善使飞刀。曾与孟获一起抵抗蜀军，在两军阵前被赵云活捉，在诸葛亮七擒七纵孟获之后，随孟获投降蜀汉。,
1091,字元放，庐江人，号乌角先生，据记载他有一只眼睛是瞎的。东汉末年著名方士，是葛玄之师，少居天柱山，研习炼丹之术。明五经，兼通星纬，明六甲，传说能役使鬼神，坐致行厨。,字元放，廬江人，號烏角先生，據記載他有一只眼睛是瞎的。東漢末年著名方士，是葛玄之師，少居天柱山，研習煉丹之術。明五經，兼通星緯，明六甲，傳說能役使鬼神，坐致行廚。,
1092,安平郡堂阳县人。与文丑一起作为袁绍军队的勇将而闻名，性格促狭。官渡之战时，在白马被关羽击败。,安平郡堂陽縣人。與文醜一起作爲袁紹軍隊的勇將而聞名，性格促狹。官渡之戰時，在白馬被關羽擊敗。,
1093,"纪念在官渡之战中，解开白马之围的关键人物关羽。
关羽在白马之战中作为前锋，从万军之中取下颜良首级，帮助曹操守住白马这一战略要地，极大地影响了袁绍军的士气。之后在延津之战中击败文丑，可以说是间接影响了官渡之战的结果。","紀念在官渡之戰中，解開白馬之圍的關鍵人物關羽。
關羽在白馬之戰中作為前鋒，從萬軍之中取下顏良首級，幫助曹操守住白馬這一戰略要地，極大地影響了袁紹軍的士氣。之後在延津之戰中擊敗文醜，可以說是間接影響了官渡之戰的結果。",
1094,"纪念汉朝时坚持汉人气节的才女蔡文姬。
公元195年，蔡文姬被匈奴左贤王掳走，在异乡忍辱负重。207年，曹操用金碧将蔡文姬赎回，在归途中，蔡文姬写下传世名曲《胡笳十八拍》。归来后被曹操嫁给董祀。
《隋书·经籍志》著录有《蔡文姬集》一卷，现已失传，只留下《悲愤诗》二首。","紀念漢朝時堅持漢人氣節的才女蔡文姬。
公元195年，蔡文姬被匈奴左賢王擄走，在異鄉忍辱負重。207年，曹操用金碧將蔡文姬贖回，在歸途中，蔡文姬寫下傳世名曲《胡笳十八拍》。歸來後被曹操嫁給董祀。
《隋書·經籍誌》著錄有《蔡文姬集》一卷，現已失傳，只留下《悲憤詩》二首。111",
1095,"纪念在赤壁之战中，用两条妙计以少胜多的周瑜。
赤壁之战前，周瑜主张联合刘备对抗曹操，孙权采纳了他的建议。
公元208年，周瑜使用苦肉计和火计大败曹操，由此奠定了“三分天下”的基础。","紀念在赤壁之戰中，用兩條妙計以少勝多的周瑜。
赤壁之戰前，周瑜主張聯合劉備對抗曹操，孫權采納了他的建議。
公元208年，周瑜使用苦肉計和火計大敗曹操，由此奠定了“三分天下”的基礎。",
1096,"纪念独自与关羽会面的鲁肃。
刘备夺取益州后，并未将荆州归还给孙权，孙刘两家关系逐渐走向冰点。此时吕蒙用计夺取了荆州三郡，关羽弃了北面的战线，向南进发。鲁肃为避免两家大战，在益阳阵前独自与关羽会面。
《吴书》记载：“肃欲与羽会语，诸将疑恐有变，议不可往。肃曰：""今日之事，宜相开譬。刘备负国，是非未决，羽亦何敢重欲干命！""乃趋就羽。”","紀念獨自與關羽會面的魯肅。
劉備奪取益州後，並未將荊州歸還給孫權，孫劉兩家關系逐漸走向冰點。此時呂蒙用計奪取了荊州三郡，關羽棄了北面的戰線，向南進發。魯肅爲避免兩家大戰，在益陽陣前獨自與關羽會面。
《吳書》記載：“肅欲與羽會語，諸將疑恐有變，議不可往。肅曰：""今日之事，宜相開譬。劉備負國，是非未決，羽亦何敢重欲幹命！""乃趨就羽。”",
1097,"纪念在汾河击败自己外甥，坚守大义的钟繇。
钟繇坐镇关中，让曹操没有西顾之忧，曹操将他的功绩与萧何相提并论。
在公元202年，钟繇与马超联手，击败了南匈奴，斩杀郭援。钟繇在见到郭援首级以后痛哭，众人方知敌将竟是钟繇的外甥，斩杀郭援的庞德向他谢罪，他却说：“郭援虽是我的外甥，但他是国贼，你何须谢罪呢？”。","紀念在汾河擊敗自己外甥，堅守大義的鍾繇。
鍾繇坐鎮關中，讓曹操沒有西顧之憂，曹操將他的功績與蕭何相提並論。
在公元202年，鍾繇與馬超聯手，擊敗了南匈奴，斬殺郭援。鍾繇在見到郭援首級以後痛哭，衆人方知敵將竟是鍾繇的外甥，斬殺郭援的龐德向他謝罪，他卻說：“郭援雖是我的外甥，但他是國賊，你何須謝罪呢？”。",
1098,"纪念在汉水之战中，以少胜多的猛将赵云。
公元209年，曹操与刘备隔着汉水对峙，准备与刘备打持久战，便将米都运到北山下，黄忠知道后，就向主将赵云提出劫粮的建议，赵云同意了，并与黄忠约定了回营的时间。但黄忠迟迟未归，赵云担心黄忠有闪失，便率几十个骑兵出去接应，正好碰上了曹操的大军，赵云杀出重围，此时赵云部将张著受伤，被曹军包围，赵云又折返回来救出张著，再次突围，曹军在其后紧追不舍。
赵云回到营寨后，大开营门，令自己的军队偃旗息鼓，曹军恐有埋伏，向后退去，此时赵云下令击鼓，以劲弩射曹操后军，曹军大乱，坠入汉水中淹死者不计其数。战后刘备在看了赵云作战的地方后不禁感叹：子龙一身都是胆也。","紀念在漢水之戰中，以少勝多的猛將趙雲。
公元209年，曹操與劉備隔著漢水對峙，准備與劉備打持久戰，便將米都運到北山下，黃忠知道後，就向主將趙雲提出劫糧的建議，趙雲同意了，並與黃忠約定了回營的時間。但黃忠遲遲未歸，趙雲擔心黃忠有閃失，便率幾十個騎兵出去接應，正好碰上了曹操的大軍，趙雲殺出重圍，此時趙雲部將張著受傷，被曹軍包圍，趙雲又折返回來救出張著，再次突圍，曹軍在其後緊追不舍。
趙雲回到營寨後，大開營門，令自己的軍隊偃旗息鼓，曹軍恐有埋伏，向後退去，此時趙雲下令擊鼓，以勁弩射曹操後軍，曹軍大亂，墜入漢水中淹死者不計其數。戰後劉備在看了趙雲作戰的地方後不禁感歎：子龍一身都是膽也。",
1099,"纪念在虎牢关前，大战刘关张的吕布。
吕布在虎牢关前迎战八路诸侯联军，未尝一败。公孙瓒亲自出战吕布，战不数合败走。吕布追之，被张飞拦住，两人大战五十回合不分胜负，关羽前来助阵，三人又大战三十回合，依旧不分胜负，刘备也持剑加入战斗，三兄弟将吕布围在中心，轮番进攻。
吕布无力击败三人，佯击刘备后回马脱身，借赤兔马的脚力回到虎牢关。此役在历史中并无记载，但也被传为佳话。","紀念在虎牢關前，大戰劉關張的呂布。
呂布在虎牢關前迎戰八路諸侯聯軍，未嘗一敗。公孫瓒親自出戰呂布，戰不數合敗走。呂布追之，被張飛攔住，兩人大戰五十回合不分勝負，關羽前來助陣，三人又大戰三十回合，依舊不分勝負，劉備也持劍加入戰鬥，三兄弟將呂布圍在中心，輪番進攻。
呂布無力擊敗三人，佯擊劉備後回馬脫身，借赤兔馬的腳力回到虎牢關。此役在曆史中並無記載，但也被傳爲佳話。",
1100,纪念在阆中镇守了七年之久的张飞。阆中是古时进入巴蜀的重要门户，阆中上可达汉中，下可达江州，可攻可守，张飞在此地镇守了七年。,紀念在阆中鎮守了七年之久的張飛。阆中是古時進入巴蜀的重要門戶，阆中上可達漢中，下可達江州，可攻可守，張飛在此地鎮守了七年。,
1101,在《淮南子》中记载，伏羲氏之女洛神嫁于河伯为妻，但河伯不贤，与水族女神私通，洛神与后羿情深。河伯与后羿大战于天庭，天帝震怒，将洛神贬落凡间..洛神转世之后，为美女甄宓。,在《淮南子》中記載，伏羲氏之女洛神嫁于河伯爲妻，但河伯不賢，與水族女神私通，洛神與後羿情深。河伯與後羿大戰于天庭，天帝震怒，將洛神貶落凡間..洛神轉世之後，爲美女甄宓。,
1102,正在施工...,正在施工…,
1103,正在施工…,正在施工…,
1104,正在施工...,正在施工…,
1105,正在施工...,正在施工…,
1106,正在施工...,正在施工…,
1107,正在施工...,正在施工…,
1108,正在施工...,正在施工…,
1109,正在施工...,正在施工…,
1110,正在施工...,正在施工…,
1111,正在施工...,正在施工…,
1112,正在施工...,正在施工…,
2001,铜卡:吕布,銅卡:呂布,
2002,银卡:吕布,銀卡:呂布,
2003,金卡!吕布,金卡!呂布,
2004,铜卡:赵云,銅卡:趙雲,
2005,银卡:赵云,銀卡:趙雲,
2006,金卡!赵云,金卡!趙雲,
2007,铜卡:典韦,銅卡:典韋,
2008,银卡:典韦,銀卡:典韋,
2009,金卡!典韦,金卡!典韋,
2010,铜卡:关羽,銅卡:關羽,
2011,银卡:关羽,銀卡:關羽,
2012,金卡!关羽,金卡!關羽,
2013,铜卡:颜良,銅卡:顔良,
2014,银卡:颜良,銀卡:顔良,
2015,金卡!颜良,金卡!顔良,
2016,铜卡:文丑,銅卡:文醜,
2017,银卡:文丑,銀卡:文醜,
2018,金卡!文丑,金卡!文醜,
2019,铜卡:马超,銅卡:馬超,
2020,银卡:马超,銀卡:馬超,
2021,金卡!马超,金卡!馬超,
2022,铜卡:张飞,銅卡:張飛,
2023,银卡:张飞,銀卡:張飛,
2024,金卡!张飞,金卡!張飛,
2025,铜卡:黄忠,銅卡:黃忠,
2026,银卡:黄忠,銀卡:黃忠,
2027,金卡!黄忠,金卡!黃忠,
2028,铜卡:许褚,銅卡:許褚,
2029,银卡:许褚,銀卡:許褚,
2030,金卡!许褚,金卡!許褚,
2031,铜卡:姜维,銅卡:姜維,
2032,银卡:姜维,銀卡:姜維,
2033,金卡!姜维,金卡!姜維,
2034,铜卡:曹操,銅卡:曹操,
2035,银卡:曹操,銀卡:曹操,
2036,金卡!曹操,金卡!曹操,
2037,铜卡:刘备,銅卡:劉備,
2038,银卡:刘备,銀卡:劉備,
2039,金卡!刘备,金卡!劉備,
2040,铜卡:诸葛亮,銅卡:諸葛亮,
2041,银卡:诸葛亮,銀卡:諸葛亮,
2042,金卡!诸葛亮,金卡!諸葛亮,
2043,铜卡:貂蝉,銅卡:貂蟬,
2044,银卡:貂蝉,銀卡:貂蟬,
2045,金卡:貂蝉,金卡!貂蟬,
2046,新伙伴!,新夥伴!,
2047,高朋满座,高朋滿座,
2048,胜友如云,勝友如雲,
2049,"""头头""是道","""頭頭""是道",
2050,全副武装,全副武裝,
2051,神兵收藏家,神兵收藏家,
2052,腰缠万贯,腰纏萬貫,
2053,百晓生,百曉生,
2054,闭月,閉月,
2055,煮酒论英雄,煮酒論英雄,
2056,"""真神人也""",“真神人也”,
2057,三顾茅庐,三顧茅廬,
2058,桃园结义,桃園結義,
2059,"""独号泣典韦也""","""獨號泣典韋也""",
2060,"""姜""没有老的辣",“姜”沒有老的辣,
2061,插标卖首,插標賣首,
2062,裸衣之斗,裸衣之鬥,
2063,天下无双,天下無雙,
2064,常胜将军,常勝將軍,
2065,古之恶来,古之惡來,
2066,美髯公,美髯公,
2067,河北上将,河北上將,
2068,神威天将军,神威天將軍,
2069,当阳大喝,當陽大喝,
2070,老当益壮,老當益壯,
2071,虎痴,虎癡,
2072,麒麟儿,麒麟兒,
2073,乱世枭雄,亂世梟雄,
2074,昭烈皇帝,昭烈皇帝,
2075,卧龙,臥龍,
2076,渐入佳境,漸入佳境,
2077,势如破竹,勢如破竹,
2078,稳操胜券,穩操勝券,
2079,攻无不克,攻無不克,
2080,所向披靡,所向披靡,
2081,百战百胜,百戰百勝,
2082,旗开得胜,旗開得勝,
2083,初出茅庐,初出茅廬,
2084,熟能生巧,熟能生巧,
2085,登堂入室,登堂入室,
2086,炉火纯青,爐火純青,
2087,咫尺之遥,咫尺之遙,
2088,登峰造极!,登峰造極!,
2089,谢谢你!,謝謝你!,
2090,身经百战,身經百戰,
2091,无尽10,無盡10,
2092,无尽30,無盡30,
2093,无尽50,無盡50,
2094,无尽60,無盡60,
2095,无尽70,無盡70,
2096,无尽新人,無盡新人,
2097,无尽老手,無盡老手,
2098,无尽高手,無盡高手,
2099,无尽达人,無盡達人,
3001,获得吕布头像5次,獲得呂布頭像5次,
3002,获得吕布头像10次,獲得呂布頭像10次,
3003,获得吕布头像20次,獲得呂布頭像20次,
3004,获得赵云头像5次,獲得趙雲頭像5次,
3005,获得赵云头像10次,獲得趙雲頭像10次,
3006,获得赵云头像20次,獲得趙雲頭像20次,
3007,获得典韦头像5次,獲得典韋頭像5次,
3008,获得典韦头像10次,獲得典韋頭像10次,
3009,获得典韦头像20次,獲得典韋頭像20次,
3010,获得关羽头像5次,獲得關羽頭像5次,
3011,获得关羽头像10次,獲得關羽頭像10次,
3012,获得关羽头像20次,獲得關羽頭像20次,
3013,获得颜良头像5次,獲得顔良頭像5次,
3014,获得颜良头像10次,獲得顔良頭像10次,
3015,获得颜良头像20次,獲得顔良頭像20次,
3016,获得文丑头像5次,獲得文醜頭像5次,
3017,获得文丑头像10次,獲得文醜頭像10次,
3018,获得文丑头像20次,獲得文醜頭像20次,
3019,获得马超头像5次,獲得馬超頭像5次,
3020,获得马超头像10次,獲得馬超頭像10次,
3021,获得马超头像20次,獲得馬超頭像20次,
3022,获得张飞头像5次,獲得張飛頭像5次,
3023,获得张飞头像10次,獲得張飛頭像10次,
3024,获得张飞头像20次,獲得張飛頭像20次,
3025,获得黄忠头像5次,獲得黃忠頭像5次,
3026,获得黄忠头像10次,獲得黃忠頭像10次,
3027,获得黄忠头像20次,獲得黃忠頭像20次,
3028,获得许褚头像5次,獲得許褚頭像5次,
3029,获得许褚头像10次,獲得許褚頭像10次,
3030,获得许褚头像20次,獲得許褚頭像20次,
3031,获得姜维头像5次,獲得姜維頭像5次,
3032,获得姜维头像10次,獲得姜維頭像10次,
3033,获得姜维头像20次,獲得姜維頭像20次,
3034,获得曹操头像5次,獲得曹操頭像5次,
3035,获得曹操头像10次,獲得曹操頭像10次,
3036,获得曹操头像20次,獲得曹操頭像20次,
3037,获得刘备头像5次,獲得劉備頭像5次,
3038,获得刘备头像10次,獲得劉備頭像10次,
3039,获得刘备头像20次,獲得劉備頭像20次,
3040,获得诸葛亮头像5次,獲得諸葛亮頭像5次,
3041,获得诸葛亮头像10次,獲得諸葛亮頭像10次,
3042,获得诸葛亮头像20次,獲得諸葛亮頭像20次,
3043,获得貂蝉头像5次,獲得貂蟬頭像5次,
3044,获得貂蝉头像10次,獲得貂蟬頭像10次,
3045,获得貂蝉头像20次,獲得貂蟬頭像20次,
3046,首次获得英灵,首次獲得英靈,
3047,获得10次英灵,獲得10次英靈,
3048,获得所有英灵,獲得所有英靈,
3049,获得所有头像,獲得所有頭像,
3050,获得一个武将的所有神兵,獲得一個武將的所有神兵,
3051,获得所有的神兵,獲得所有神兵,
3052,累计获得10000金币,獲得纍計10000金幣,
3053,解锁图鉴的所有内容,解鎖圖鑒的所有内容,
3054,使用貂蝉战胜对手100次,使用貂蟬戰勝對手100次,
3055,刘备与曹操同时在手牌中10次,劉備與曹操同時在手牌中10次,
3056,曹操在手牌时，使用关羽战胜颜良或文丑1次,曹操在手牌時，使用關羽戰勝顔良或文醜1次,
3057,使用刘备战胜诸葛亮3次,使用劉備戰勝諸葛亮3次,
3058,手牌中同时拥有刘备、关羽、张飞10次,手牌中同時擁有劉備、關羽、張飛10次,
3059,曹操在手牌时，使用典韦输给对方10次,曹操在手牌中時，使用典韋輸給對方10次,
3060,使用诸葛亮战胜姜维10次,使用諸葛亮戰勝姜維10次,
3061,使用关羽战胜颜良10次,使用關羽戰勝顔良10次,
3062,马超与许褚对战20次(不计胜负),馬超與許褚對戰20次(不計勝負),
3063,使用吕布战胜对手100次,使用呂布戰勝對手100次,
3064,使用赵云战胜对手100次,使用趙雲戰勝對手100次,
3065,使用典韦战胜对手100次,使用典韋戰勝對手100次,
3066,使用关羽战胜对手100次,使用關羽戰勝對手100次,
3067,使用颜良和文丑战胜对手100次,使用顔良和文醜戰勝對手100次,
3068,使用马超战胜对手100次,使用馬超戰勝對手100次,
3069,使用张飞战胜对手100次,使用張飛戰勝對手100次,
3070,使用黄忠战胜对手100次,使用黃忠戰勝對手100次,
3071,使用许褚战胜对手100次,使用許褚戰勝對手100次,
3072,使用姜维战胜对手100次,使用姜維戰勝對手100次,
3073,使用曹操战胜对手100次,使用曹操戰勝對手100次,
3074,使用刘备战胜对手100次,使用劉備戰勝對手100次,
3075,使用诸葛亮战胜对手100次,使用諸葛亮戰勝對手100次,
3076,在暗牌挑战获得1次10连胜,在暗牌挑戰獲得1次10連勝,
3077,在暗牌挑战获得3次10连胜,在暗牌挑戰獲得3次10連勝,
3078,在暗牌挑战获得5次10连胜,在暗牌挑戰獲得5次10連勝,
3079,在暗牌挑战获得1次20连胜,在暗牌挑戰獲得1次20連勝,
3080,在暗牌挑战获得3次20连胜,在暗牌挑戰獲得3次20連勝,
3081,在暗牌挑战获得5次20连胜,在暗牌挑戰獲得5次20連勝,
3082,首次获得胜利,首次獲得勝利,
3083,账号等级达到3级,賬號等級達到3級,
3084,账号等级达到10级,賬號等級達到10級,
3085,账号等级达到20级,賬號等級達到20級,
3086,账号等级达到40级,賬號等級達到40級,
3087,账号等级达到49级,賬號等級達到49級,
3088,账号等级达到50级,賬號等級達到50級,
3089,感谢账号达到满级的忠实玩家,感謝賬號達到滿級的忠實玩家,
3090,明牌暗牌挑战局数累计100局,明牌暗牌挑戰局數纍計100局,
3091,通过无尽模式第10层,通過無盡模式第10層,
3092,通过无尽模式第30层,通過無盡模式第30層,
3093,通过无尽模式第50层,通過無盡模式第50層,
3094,通过无尽模式第60层,通過無盡模式第60層,
3095,通过无尽模式第70层,通過無盡模式第70層,
3096,游玩无尽模式10次,遊玩無盡模式10次,
3097,游玩无尽模式50次,遊玩無盡模式50次,
3098,游玩无尽模式100次,遊玩無盡模式100次,
3099,游玩无尽模式300次,遊玩無盡模式300次,
4001,步练师,步練師,
4002,蔡琰,蔡琰,
4003,曹操,曹操,
4004,曹丕,曹丕,
4005,曹彰,曹彰,
4006,陈群,陳群,
4007,程普,程普,
4008,程昱,程昱,
4009,大乔,大喬,
4010,邓艾,鄧艾,
4011,典韦,典韋,
4012,貂蝉,貂蟬,
4013,董卓,董卓,
4014,法正,法正,
4015,甘宁,甘寧,
4016,高顺,高順,
4017,公孙瓒,公孫瓚,
4018,关凤,關鳳,
4019,关平,關平,
4020,关羽,關羽,
4021,郭嘉,郭嘉,
4022,郭女王,郭女王,
4023,韩当,韓當,
4024,韩遂,韓遂,
4025,汉献帝,漢獻帝,
4026,华佗,華佗,
4027,华雄,華雄,
4028,黄盖,黃蓋,
4029,黄月英,黃月英,
4030,黄忠,黃忠,
4031,贾诩,賈詡,
4032,姜维,姜維,
4033,刘备,劉備,
4034,鲁肃,魯肅,
4035,陆逊,陸遜,
4036,吕布,呂布,
4037,吕灵雎,呂靈雎,
4038,吕蒙,呂蒙,
4039,马超,馬超,
4040,马良,馬良,
4041,马腾,馬騰,
4042,马云禄,馬雲祿,
4043,孟获,孟獲,
4044,祢衡,祢衡,
4045,糜贞,糜貞,
4046,糜竺,糜竺,
4047,南华老仙,南華老仙,
4048,庞德,龐德,
4049,庞统,龐統,
4050,沙摩柯,沙摩柯,
4051,司马徽,司馬徽,
4052,司马懿,司馬懿,
4053,孙策,孫策,
4054,孙坚,孫堅,
4055,孙权,孫權,
4056,孙尚香,孫尚香,
4057,太史慈,太史慈,
4058,田丰,田豐,
4059,王元姬,王元姬,
4060,魏延,魏延,
4061,兀突骨,兀突骨,
4062,夏侯惇,夏侯惇,
4063,夏侯渊,夏侯淵,
4064,小乔,小喬,
4065,徐晃,徐晃,
4066,徐庶,徐庶,
4067,许褚,許褚,
4068,荀彧,荀彧,
4069,严颜,嚴顔,
4070,文丑,文醜,
4071,婴儿,嬰兒,
4072,于吉,于吉,
4073,于禁,于禁,
4074,袁绍,袁紹,
4075,袁术,袁術,
4076,张春华,張春華,
4077,张飞,張飛,
4078,张郃,張郃,
4079,张角,張角,
4080,张辽,張遼,
4081,张松,張松,
4082,张昭,張昭,
4083,赵云,趙雲,
4084,甄宓,甄宓,
4085,周仓,周倉,
4086,周泰,周泰,
4087,周瑜,周瑜,
4088,诸葛瑾,諸葛瑾,
4089,诸葛亮,諸葛亮,
4090,祝融,祝融,
4091,左慈,左慈,
4092,颜良,顔良,
4093,白马关羽,白馬關羽,
4094,蔡文姬,蔡文姬,
4095,赤壁周瑜,赤壁周瑜,
4096,单刀鲁肃,單刀魯肅,
4097,关西钟繇,關西鍾繇,
4098,汉水赵云,漢水趙雲,
4099,虎牢吕布,虎牢呂布,
4100,阆中张飞,阆中張飛,
4101,洛神甄姬,洛神甄姬,
4102,美人貂蝉,美人貂蟬,
4103,七星诸葛,七星諸葛,
4104,石亭贾逵,石亭賈逵,
4105,洮西姜维,洮西姜維,
4106,托孤张昭,托孤張昭,
4107,西城诸葛亮,西城諸葛亮,
4108,逍遥津张辽,逍遙津張遼,
4109,易城郭嘉,易城郭嘉,
4110,长坂赵云,長坂趙雲,
4111,镇西邓艾,鎮西鄧艾,
4112,征南羊祜,征南羊祜,
4113,八荒火龙方天戟,八荒火龍方天戟,
4114,兽面吞头连环铠,獸面吞頭連環铠,
4115,嘶风赤兔胭脂兽,嘶風赤兔胭脂獸,
4116,三叉束发紫金冠,三叉束發紫金冠,
4117,豪龙无双偃月刀,豪龍無雙偃月刀,
4118,无双龙鳞筩袖铠 ,無雙龍鱗筩袖铠,
4119,照夜玉兰白龙驹,照夜玉蘭白龍駒,
4120,章武金牛八剑,章武金牛八劍,
4121,追龙逐虎戟,追龍逐虎戟,
4122,黄金赤虎铠,黃金赤虎铠,
4123,青焰黑风驹,青焰黑風駒,
4124,飞火紫沙盔,飛火紫沙盔,
4125,青龙偃月冷艳锯,青龍偃月冷豔鋸,
4126,绿锦袍披镶金甲,綠錦袍披鑲金甲,
4127,嘶风赤兔汗血驹,嘶風赤兔汗血駒,
4128,金丝绿纱披肩帽,金絲綠紗披肩帽,
4129,金丝曲瘤歃血刀,金絲曲瘤歃血刀,
4130,雁翎白银披风铠,雁翎白銀披風铠,
4131,幽明气运绝影马,幽明气运绝影马,
4132,红袍玉带锦衣裘,紅袍玉帶錦衣裘,
4133,惊龙斩马刀,驚龍斬馬刀,
4134,豪龙赤麟甲,豪龍赤麟甲,
4135,乌骓一点白,烏骓一點白,
4136,青纹紫王剑,青紋紫王劍,
4137,五钩神飞亮银枪,五鈎神飛亮銀槍,
4138,白狼傲踏明光铠,白狼傲踏明光铠,
4139,粉淀玉龙里飞沙,粉澱玉龍裏飛沙,
4140,照月白银狮头盔,照月白銀獅頭盔,
4141,破军丈八灵蛇矛,破軍丈八靈蛇矛,
4142,鎏金黑耀鱼鳞铠,鎏金黑耀魚鱗铠,
4143,乌云踏雪马,烏雲踏雪馬,
4144,赤朱新亭刀,赤朱新亭刀,
4145,赤血黄龙斩,赤血黃龍斬,
4146,黄金烈焰锁子甲,黃金烈焰鎖子甲,
4147,荆襄白玉驹,荊襄白玉駒,
4148,金龙宝雕弓,金龍寶雕弓,
4149,青阳血魄惊魂刀,青陽血魄驚魂刀,
4150,金边映月黑光铠,金邊映月黑光铠,
4151,风旋电掣逸尘马,風旋電掣逸塵馬,
4152,神勇护身烈毛毡,神勇護身烈毛氈,
4153,寒光天燮绿沉枪,寒光天燮綠沈槍,
4154,百叶黄金麒麟甲,百葉黃金麒麟甲,
4155,雷鸣闪电追风驹,雷鳴閃電追風駒,
4156,青面黄金十字盔,青面黃金十字盔,
4157,碧玉青虹剑,碧玉青虹劍,
4158,傲气紫龙袍,傲氣紫龍袍,
4159,绝影无双驹,絕影無雙駒,
4160,神梦金虎符,神夢金虎符,
4161,落雁鸳鸯双股剑,落雁鴛鴦雙股劍,
4162,情义无双青鸾衫,情義無雙青鸾衫,
4163,逍遥玲珑黄骠马,逍遙玲珑黃骠馬,
4164,紫气东来碧玉玺,紫氣東來碧玉玺,
4165,北斗七星风雷剑,北鬥七星風雷劍,
4166,七星锦绣云鹤氅,七星錦繡雲鶴氅,
4167,机关四轮素车,機關四輪素車,
4168,奇门遁甲八阵图,奇門遁甲八陣圖,
4169,三股七弦琴,三股七弦琴,
4170,风雪翻毛藏红袍,風雪翻毛藏紅袍,
4171,六龙玉鸾驾云车,六龍玉鸾駕雲車,
4172,瑶金翡翠明珠冠,瑤金翡翠明珠冠,
